Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
diatonică		0		diaton	ică
diavoliță	Fem	0		diavol	iță
dicționăraș	1	1		dicționar	aș
diecel	1	1		diac	el
difteric		0		difterie	ic
dijmaș	A	0		dijmă	aș
dinamică		0		dinamic	ică
dințișor	1	1		dinte	ișor
dințișor		1		dinte	ișor
dioptrică		0		dioptru	ică
diplomatică		0		diplomat	ică
directoraș	1	1		director	aș
dizenteric		0		dizenterie	ic
docăraș	1	1		docar	aș
doctoraș	1	1		doctor	aș
doctoriță	Fem	0		doctor	iță
dogmatic		0		dogmă	ic
doinaș	A	0		doină	aș
doinișoară		1		doină	ișoară
domnișoară		1		doamnă	ișoară
domnișor	1	1		domn	ișor
domnișor		1		domn	ișor
domnișorică		0		domnișor	ică
domniță		1		doamnă	iță
doruleț		1		dor	uleț
dovlecel	1	1		dovleac	el
drăculeț		1		drac	uleț
drăcușor		1		drac	ușor
drobușor		1		drob	ușor
druguleț		1		drug	uleț
drumaș	A	0		drum	aș
drumuleț		1		drum	uleț
drumușor		1		drum	ușor
dulăpaș	1	1		dulap	aș
dulăpior		1		dulap	ior
dulcișor	1	1		dulce	ișor
dulcișor		1		dulce	ișor
dulgheriță	Fem	0		dulgher	iță
dumbravnic		0		dumbravă	ic
dumbrăvioară		1		dumbravă	ioară
dunguliță		1		dungă	uliță
ebenistică		0		ebenist	ică
echilibristică		0		echilibrist	ică
elastic		0		elasticitate	ic
electroacustică		0		electronist	ică
electrocaustică		0		electrocar	ică
electrodinamică		0		electrodinam	ică
electronică		0		electron	ică
electrooptică		0		electrolit	ică
elinică		0		elină	ică
emetic		0		emeză	ic
encaustică		0		encaustic	ică
englezoaică	Fem	0		englez	ică
enoriaș	A	0		enorie	aș
epică		0		epic	ică
eseistică		0		eseist	ică
estetică		0		estet	ică
etnolingvistică		0		entolingvsit	ică
factoriță	Fem	0		factor	iță
farfurioară		1		farfurie	ioară
fasolică		1		fasole	ică
făgețel	1	1		făget	el
făptaș	A	0		faptă	aș
fărâmiță		1		fărâmă	iță
fânișor	1	1		fân	ișor
fântânel	1	1	păstrăv	fântână	el
fântânioară		1		fântână	ioară
fântâniță		1		fântână	iță
fâșioară		1		fâșie	ioară
fecioraș	1	1		fecior	aș
felceriță	Fem	0		felcer	iță
felioară		1		felie	ioară
femeiușcă		1		femeie	ușcă
ferăstraș	1	1		ferăstrău	aș
ferestrică		1		fereastră	ică
ferestruică		1		fereastră	uică
ficățel	1	1		ficat	el
fierăstrăiaș	1	1		fierăstrău	aș
fierturică		1		fiertură	ică
filmuleț		1		film	uleț
firicel	1	1		fir	icel
firișor	1	1		fir	ișor
firmuliță		1		firmă	uliță
flaconaș	1	1		flacon	aș
flăcăiaș	1	1		flăcău	aș
fleculeț		1		fleac	uleț
flintuliță		1		flint	uliță
flocoșel	1	1	ciupercă (adj)	flocos	el
flocușor		1		floc	ușor
florișoară		1		floare	ișoară
fluieraș	1	1		fluier	aș
flușturatic		0		fluturat	ic
fluturaș	1	1		flutur	aș
fluturatic		0		fluturat	ic
fluturel	1	1		fluture	el
foamete		0		foame	ete
foculeț		1		foc	uleț
focușor		1		foc	ușor
folcloristică		0		folclorist	ică
fonemică		0		fonem	ică
franțuzoaică	Fem	0		franțuz	ică
frăgușoară		1		fragă	ușoară
frăsinel	1	1		frasin	el
frățior		1		frate	ior
frânghioară		1		frânghie	ioară
frigăruică		1		frigare	uică
friguleț		1		frig	uleț
fripturică		1		friptură	ică
frizeriță	Fem	0		frizer	iță
fruntaș	A	0		frunte	aș
frunzet		0		frunză	et
frunzică		1		frunză	ică
frunzișoară		1		frunză	ișoară
frunziță		1		frunză	iță
frunzulică		1		frunză	ulică
frunzuliță		1		frunză	uliță
ftizic		0		ftizie	ic
fuioraș	1	1		fuior	aș
fulguleț		1		fulg	uleț
funcționăraș	1	1		funcționar	aș
fundaș	A	0		fund	aș
furculiță		1		furcă	uliță
fustișoară		1		fustă	ișoară
fustiță		1		fustă	iță
fuștaș	A	0		fuște	aș
fușteică		1		fuște	ică
garofiță		1		garoafă	iță
gazetăraș	1	1		gazetar	aș
gazetăriță	Fem	0		gazetar	iță
găinăriță	Fem	0		găinar	iță
gălbenaș	1	1		galben	aș
gămălioară		1		gămălie	ioară
gărduleț		1		gard	uleț
gărdurel	1	1	gard + ur + el	gard	urel
gărgăriță		0		gargară	iță
găvănoșel	1	1		gavanos	el
gândăcel	1	1		gândac	el
gârlișoară		1		gârlă	ișoară
gâscariță	Fem	0		gâscar	iță
gâscăriță	Fem	0		gâscar	iță
gâsculiță		1		gâscă	uliță
gâtișor	1	1		gât	ișor
gâzuliță		1		gâză	uliță
geamăntănaș	1	1		geamantan	aș
gemănariță		0		gemănare	iță
gentuliță		1		geantă	uliță
geodezică		0		geodez	ică
geotectonică		0		tehnic	ică
geotehnică		0		tehnic	ică
gerișor	1	1		ger	ișor
germanistică		0		germanist	ică
ghemuleț		1		ghem	uleț
ghemușor		1		ghem	ușor
ghețișoară		1		gheață	ișoară
ghețușcă		1		gheață	ușcă
ghiborțaș	1	1	pește	ghiborț	aș
ghintuleț		1		ghint	uleț
ghiobuleț		1		ghiob	uleț
ghiocel	1	1		ghioc	el
ghiozdănaș	1	1		ghiozdan	aș
ghiozdănel	1	1		ghiozdan	el
gimnastică		0		gimnast	ică
ginerică		1		ginere	ică
giumbușluc		0		giumbuș	uc
gleznișoară		1		gleznă	ișoară
globușor		1		glob	ușor
glotaș	A	0		gloată	aș
gnomonică		0		gnomon	ică
gogoșică		1		gogoașă	ică
golănel	1	1		golan	el
gonaș	A	0		goană	aș
gospodărioară		1		gospodărie	ioară
grădiniță		1		grădină	iță
grăuncior		1		grăunte	ior
grecușor		1		grec	ușor
greieraș	1	1		greier	aș
greierel	1	1		greier	el
greieruș		1		greier	uș
gropușoară		1		groapă	ușoară
grupuleț		1		grup	uleț
grupușor		1		grup	ușor
guleraș	1	1		guler	aș
gustărică		1		gustare	ică
haiducel	1	1		haiduc	el
hăinișoară		1		haină	ișoară
hăitaș	1	1		haită	aș
hărtănaș	1	1		hartan	aș
hărțaș	A	0		harță	aș
hățaș	A	0		hăț	aș
hârdăiaș	1	1		hârdău	aș
hârtioară		1		hârtie	ioară
helvet		0		elveția	et
hemiplegic		0		hemiplegie	ic
hemodiagnostic		0		diagnostica	ic
hemostatic		0		hemostază	ic
heraldică		0		herald	ică
hermeneutică		0		hermeneut	ică
hidraulică		0		hidră	ulică
hidrodinamică		0		hidrofinare	ică
hidroftalmic		0		hidroftalmie	ic
hidroponică		0		hidrofon	ică
hidrostatică		0		higrostat	ică
holeric		0		holeră	ic
holteiaș	1	1		holtei	aș
horboțică		0		horbotă	ică
hudicioară		1		hudiță	ioară
hulubaș	1	1		hulub	aș
hulubel	1	1		hulub	el
ibovnicel	1	1		ibovnic	el
ibricel	1	1		ibric	el
icrișoară		1		icră	ișoară
icteric		0		icter	ic
idolaș	1	1		idol	aș
iepuraș	1	1		iepure	aș
ierbușoară		1		iarbă	ușoară
iernatic		0		iernat	ic
ietăcel	1	1		iatac	el
iezișor	1	1		ied	ișor
ilicel	1	1		ilic	el
indianistică		0		indianist	ică
industriaș	A	0		industrie	aș
informatică		0		informare	ică
infrasunet		0		sunet	et
ingineraș	1	1		inginer	aș
inimioară		1		inimă	ioară
inișor	1	1		in	ișor
interpret		0		interpreta	et
isprăvnicel	1	1		ispravnic	el
isprăvnicel		1		ispravnic	icel
istorioară		1		istorie	ioară
ișlicel	1	1		ișlic	el
italienistică		0		italienist	ică
iubițel	1	1		iubit	el
iubițică		1		iubită	ică
izodinamică		0		izodinamie	ică
izomagnetică		0		magnetic	ică
izvoraș	1	1		izvor	aș
înaintaș	A	0		înainte	aș
îngeraș	1	1		înger	aș
îngerel	1	1		înger	el
însemnărică		1		însemnare	ică
însurățel	1	1		însurat	el
învățăcel	1	1		învățat	el
învârtecuș		0		învârteală	uș
jachețică		1		jachetă	ică
jandarmeriță	Fem	0		jandarm	iță
jăcaș	A	0		jac	aș
jghebuleț		1		jgheab	uleț
joculeț		1		joc	uleț
jordiță		1		joardă	iță
jucărioară		1		jucărie	ioară
judecătoraș	1	1		judecător	aș
jugănaș	1	1		jugan	aș
jugănel	1	1		jugan	el
juncănaș	1	1		juncan	aș
juncușor		1		junc	ușor
junel	1	1		june	el
junelaș	1	1		junel	aș
jupaniță	Fem	0		jupan	iță
jupâneșică		1		jupâneasă	ică
jurnalistică		0		jurnalist	ică
lăcățel	1	1		lacăt	el
lăcrămioară		1		lacrimă	ioară
lăcrimioară		1		lacrimă	ioară
lăcrimiță		1		lacrimă	iță
lădișoară		1		ladă	ișoară
lăibăraș	1	1		laibăr	aș
