împărți	împărțire	împărțit
împiedica	împiedicare	împiedicat
împinge	împingere	împins
începe	începere	început
încerca	încercare	încercat
încheia	încheiere	încheiat
închide	închidere	închis
încuia	încuiere	încuiat
îndeplini	îndeplinire	îndeplinit
îngrijora	îngrijorare	îngrijorat
înlătura	înlăturare	înlăturat
înlocui	înlocuire	înlocuit
înmuia	înmuiere	înmuiat
înregistra	înregistrare	înregistrat
însemna	însemnare	însemnat
întâlni	întâlnire	întâlnit
întâmpla	întâmplare	întâmplat
întinde	întindere	întins
întoarce	întoarcere	întors
întrista	întristare	întristat
înțelege	înțelegere	înțeles
învăța	învățare	învățat
juca	jucare	jucat
judeca	judecare	judecat
justifica	justificare	justificat
lansa	lansare	lansat
lăsa	lăsare	lăsat
lega	legare	legat
limita	limitare	limitat
lipsi	lipsire	lipsit
livra	livrare	livrat
locui	locuire	locuit
lovi	lovire	lovit
lua	luare	luat
lucra	lucrare	lucrat
lumina	luminare	luminat
lupta	luptare	luptat	luptă
majora	majorare	majorat
manifesta	manifestare	manifestat
marca	marcare	marcat
măsura	măsurare	măsurat
mâhni	mâhnire	mâhnit
media	mediere	mediat
merge	mergere	mers
merita	meritare	meritat
micșora	micșorare	micșorat
mijloci	mijlocire	mijlocit
minți	mințire	mințit
mira	mirare	mirat
mirosi	mirosire	mirosit
modera	moderare	moderat
modifica	modificare	modificat
monitoriza	monitorizare	monitorizat
monta	montare	montat
motiva	motivare	motivat
munci	muncire	muncit
muri	murire	murit
muta	mutare	mutat
necesita	necesitare	necesitat
nega	negare	negat
negocia	negociere	negociat
nominaliza	nominalizare	nominalizat
nota	notare	notat
număra	numărare	numărat
numi	numire	numit
obliga	obligare	obligat
observa	observare	observat
obține	obținere	obținut
ocupa	ocupare	ocupat
oferi	oferire	oferit
omorî	omorîre	omorît
opri	oprire	oprit
opune	opunere	opus
ordona	ordonare	ordonat
ordona	ordonare	ordonat
organiza	organizare	organizat
parcurge	parcurgere	parcurs
parfuma	parfumare	parfumat
participa	participare	participat
pasa	pasare	pasat
părea		părut
păstra	păstrare	păstrat
pătrunde	pătrundere	pătruns
percepe	percepere	perceput
permite	permitere	permis
petrece	petrecere	petrecut
pica	picare	picat
pierde	pierdere	pierdut
plăcea	plăcere	plăcut
pleca	plecare	plecat
plimba	plimbare	plimbat
ploua	plouare	plouat
porni	pornire	pornit
potrivi	potrivire	potrivit
povesti	povestire	povestit
practica	practicare	practicat
preciza	precizare	precizat
preda	predare	predat
prefera	preferare	preferat
pregăti	pregătire	pregătit
prelua	preluare	preluat
prelungi	prelungire	prelungit
preocupa	preocupare	preocupat
presupune	presupunere	presupus
pretinde	pretindere	pretins
prevedea	prevedere	prevăzut
prezenta	prezentare	prezentat
primi	primire	primit
prinde	prindere	prins
privi	privire	privit
proceda	procedare	procedat
produce	producere	produs
profita	profitare	profitat
promite	promitere	promis
promova	promovare	promovat
propune	propunere	propus
proteja	protejare	protejat
protesta	protestare	protestat
proveni	provenire	provenit
provoca	provocare	provocat
pune	punere	pus
purta	purtare	purtat
putea	putere	putut
raporta	raportare	raportat
rata	ratare	ratat
rămâne	rămânere	rămas
răni	rănire	rănit
răspunde	răspundere	răspuns
realiza	realizare	realizat
reclama	reclamare	reclamat
recomanda	recomandare	recomandat
recunoaște	recunoaștere	recunoscut
recupera	recuperare	recuperat
recurge	recurgere	recurs
reduce	reducere	redus
referi	referire	referit
reflecta	reflectare	reflectat
reflecta	reflectare	reflectat
refuza	refuzare	refuzat
regreta	regretare	regretat
reieși	reieșire	reieșit
relata	relatare	relatat
releva	relevare	relevat
relua	reluare	reluat
remarca	remarcare	remarcat
renunța	renunțare	renunțat
repara	reparare	reparat
repeta	repetare	repetat
repezi	repezire	repezit
reprezenta	reprezentare	reprezentat
respecta	respectare	respectat
respinge	respingere	respins
retrage	retragere	retras
reuni	reunire	reunit
reuși	reușire	reușit
revendica	revendicare	revendicat
reveni	revenire	revenit
rezista	rezistare	rezistat
rezolva	rezolvare	rezolvat
rezulta	rezultare	rezultat
ridica	ridicare	ridicat
risca	riscare	riscat
rosti	rostire	rostit
ruga	rugare	rugat
rupe	rupere	rupt
saluta	salutare	salutat
salva	salvare	salvat
sări	sărire	sărit
scădea	scădere	scăzut
scăpa	scăpare	scăpat
schimba	schimbare	schimbat
scoate	scoatere	scos
scrie	scriere	scris
semna	semnare	semnat
semnala	semnalare	semnalat
separa	separare	separat
servi	servire	servit
sesiza	sesizare	sesizat
simți	simțire	simțit
smulge	smulgere	smuls
solicita	solicitare	solicitat
sorbi	sorbire	sorbit
sosi	sosire	sosit
sparge	spargere	spart
specifica	specificare	specificat
spera	sperare	sperat
speria	speriere	speriat
sprijini	sprijinire	sprijinit
spune	spunere	spus
sta	stare	stat
stabili	stabilire	stabilit
stăpâni	stăpânire	stăpânit
stărui	stăruire	stăruit
stinge	stingere	stins
stoarce	stoarcere	stors
străbate	străbatere	străbătut
strica	stricare	stricat
striga	strigare	strigat
studia	studiere	studiat
sublinia	subliniere	subliniat
suferi	suferire	suferit
sufla	suflare	suflat
sugera	sugerare	sugerat
suna	sunare	sunat
supăra	supărare	supărat
suporta	suportare	suportat
supune	supunere	supus
surprinde	surprindere	surprins
suspecta	suspectare	suspectat
suspenda	suspendare	suspendat
sustrage	sustragere	sustras
ști	știre	știt
tăia	tăiere	tăiat
teme	temere	temut
termina	terminare	terminat
trage	tragere	tras
transfera	transferare	transferat
transforma	transformare	transformat
transmite	transmitere	transmis
transporta	transportare	transportat
trata	tratare	tratat
trebui	trebuire	trebuit
trece	trecere	trecut
trezi	trezire	trezit
trimite	trimitere	trimis
ține	ținere	ținut
ucide	ucidere	ucis
uita	uitare	uitat
uita	uitare	uitat
ului	uluire	uluit
umbla	umblare	umblat
umple	umplere	umplut
uni	unire	unit
urca	urcare	urcat
urma	urmare	urmat
urmări	urmărire	urmărit
utiliza	utilizare	utilizat
vedea	vedere	văzut
veni	venire	venit
verifica	verificare	verificat
vinde	vindere	vândut
visa	visare	visat
viza	vizare	vizat
vizita	vizitare	vizitat
vorbi	vorbire	vorbit
vota	votare	votat
vrea	vrere	vrut
zbura	zburare	zburat
zice	zicere	zis
