Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
golănel	1	1		golan	el
greierel	1	1		greier	el
haiducel	1	1		haiduc	el
hulubel	1	1		hulub	el
ietăcel	1	1		iatac	el
ibovnicel	1	1		ibovnic	el
ibricel	1	1		ibric	el
ilicel	1	1		ilic	el
isprăvnicel	1	1		ispravnic	el
ișlicel	1	1		ișlic	el
iubițel	1	1		iubit	el
îngerel	1	1		înger	el
însurățel	1	1		însurat	el
învățăcel	1	1		învățat	el
jugănel	1	1		jugan	el
junel	1	1		june	el
lăcățel	1	1		lacăt	el
lăstărel	1	1		lăstar	el
legănel	1	1		leagăn	el
logofețel	1	1		logofăt	el
mărgăritărel	1	1		mărgăritar	el
mititel	1	1	din adj. Dim.	mic	itel
mielușel	1	1		mieluș	el
mijlocel	1	1		mijloc	el
morărel	1	1		morar	el
morcovel	1	1		morcov	el
mosorel	1	1		mosor	el
moșnegel	1	1		moșneag	el
motănel	1	1		motan	el
motocel	1	1		motoc	el
mugurel	1	1		mugur	el
munticel	1	1	munte + icel	munte	icel
mușețel	1	1	plantă, adj	mușat	el
năsturel	1	1		nasture	el
nășel	1	1		naș	el
nădrăgel	1	1		nădrag	el
negel	1	1		neg	el
nepoțel	1	1		nepot	el
norocel	1	1		noroc	el
nourel	1	1		nour	el
obrăjel	1	1		obraz	el
orășel	1	1		oraș	el
ostrovel	1	1		ostrov	el
pachețel	1	1		pachet	el
păhărel	1	1		pahar	el
păhărnicel	1	1		paharnic	el
păloșel	1	1		paloș	el
păltinel	1	1		paltin	el
papucel	1	1		papuc	el
păcurărel	1	1		păcurar	el
păienjenel	1	1		păianjen	el
pămânțel	1	1		pământ	el
părințel	1	1		părinte	el
păstorel	1	1		păstor	el
pătrățel	1	1		pătrat	el
păunel	1	1		păun	el
pântecel	1	1		pântec	el
pescărel	1	1		pescar	el
peticel	1	1		petic	el
pieptărel	1	1		pieptar	el
pieptănel	1	1		pieptăn	el
pietroșel	1	1	pește	pietros	el
pitărel	1	1		pitar	el
podurel	1	1	pod + ur + el	pod	urel
polobocel	1	1		poloboc	el
portărel	1	1		portar	el
porumbel	1	1		porumb	el
postelnicel	1	1		postelnic	el
prosopel	1	1		prosop	el
prundurel	1	1	prund + ur + el	prund	urel
puchițel	1	1		puchi	ițel
pumnicel	1	1	pumn + icel	pumn	icel
puricel	1	1		purice	el
răcănel	1	1		răcan	el
răvășel	1	1		răvaș	el
rândunel	1	1	rândunea -ea +el	rândunea	el
săticel	1	1		sat	icel
sălășel	1	1		sălaș	el
săpunel	1	1		săpun	el
sâmburel	1	1		sâmbure	el
scăunel	1	1		scaun	el
scorțărel	1	1		scorțar	el
sertărel	1	1		sertar	el
sfeșnicel	1	1		sfeșnic	el
sinețel	1	1		sineț	el
sipețel	1	1		sipet	el
soldățel	1	1		soldat	el
spătărel	1	1		spătar	el
stânjenel	1	1		stânjen	el
stejărel	1	1		stejar	el
sticlețel	1	1		sticlete	el
stolnicel	1	1		stolnic	el
strugurel	1	1		strugure	el
suflețel	1	1		suflet	el
sumănel	1	1		suman	el
sunducel	1	1		sunduc	el
surtucel	1	1		surtuc	el
șănțurel	1	1	(rar)	șanț	urel
șerpurel	1	1		șarpe	urel
șervețel	1	1		șervet	el
șipurel	1	1		șip	urel
șipoțel	1	1		șipot	el
șirețel	1	1		șiret	el
șiștărel	1	1		șiștar	el
șoricel	1	1		șoarece	el
șofrănel	1	1		șofran	el
